jppfs_cor:AdvancePaymentsCAHWY,前払金、流動資産、高速道路事業,Advance payments,Advance payments-CA-HWY
jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
jppfs_cor:NoncurrentAssetsHighwayBusinessNCAAbstractHWY,高速道路事業固定資産、高速道路事業 [タイトル項目],Non-current assets - highway business,Non-current assets - highway business-NCA-HWY [abstract]
jppfs_cor:PropertyPlantAndEquipmentHighwayBusinessNCAAbstractHWY,有形固定資産、高速道路事業固定資産、高速道路事業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-highway business-NCA-HWY [abstract]"
jppfs_cor:BuildingsHighwayBusinessNCAHWY,建物、高速道路事業固定資産、高速道路事業,Buildings,Buildings-highway business-NCA-HWY
jppfs_cor:AccumulatedDepreciationBuildingHighwayBusinessNCAHWY,減価償却累計額、建物、高速道路事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-building-highway business-NCA-HWY
jppfs_cor:AccumulatedImpairmentLossBuildingsHighwayBusinessNCAHWY,減損損失累計額、建物、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-buildings-highway business-NCA-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossBuildingsHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、建物、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-buildings-highway business-NCA-HWY
jppfs_cor:BuildingsNetHighwayBusinessNCAHWY,建物（純額）、高速道路事業固定資産、高速道路事業,"Buildings, net","Buildings, net-highway business-NCA-HWY"
jppfs_cor:StructuresHighwayBusinessNCAHWY,構築物、高速道路事業固定資産、高速道路事業,Structures,Structures-highway business-NCA-HWY
jppfs_cor:AccumulatedDepreciationStructuresHighwayBusinessNCAHWY,減価償却累計額、構築物、高速道路事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-structures-highway business-NCA-HWY
jppfs_cor:AccumulatedImpairmentLossStructuresHighwayBusinessNCAHWY,減損損失累計額、構築物、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-structures-highway business-NCA-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossStructuresHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、構築物、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-structures-highway business-NCA-HWY
jppfs_cor:StructuresNetHighwayBusinessNCAHWY,構築物（純額）、高速道路事業固定資産、高速道路事業,"Structures, net","Structures, net-highway business-NCA-HWY"
jppfs_cor:MachineryAndEquipmentHighwayBusinessNCAHWY,機械及び装置、高速道路事業固定資産、高速道路事業,Machinery and equipment,Machinery and equipment-highway business-NCA-HWY
jppfs_cor:AccumulatedDepreciationMachineryAndEquipmentHighwayBusinessNCAHWY,減価償却累計額、機械及び装置、高速道路事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-machinery and equipment-highway business-NCA-HWY
jppfs_cor:AccumulatedImpairmentLossMachineryAndEquipmentHighwayBusinessNCAHWY,減損損失累計額、機械及び装置、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-machinery and equipment-highway business-NCA-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossMachineryAndEquipmentHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、機械及び装置、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-machinery and equipment-highway business-NCA-HWY
jppfs_cor:MachineryAndEquipmentNetHighwayBusinessNCAHWY,機械及び装置（純額）、高速道路事業固定資産、高速道路事業,"Machinery and equipment, net","Machinery and equipment, net-highway business-NCA-HWY"
jppfs_cor:VehiclesHighwayBusinessNCAHWY,車両運搬具、高速道路事業固定資産、高速道路事業,Vehicles,Vehicles-highway business-NCA-HWY
jppfs_cor:AccumulatedDepreciationVehiclesHighwayBusinessNCAHWY,減価償却累計額、車両運搬具、高速道路事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-vehicles-highway business-NCA-HWY
jppfs_cor:AccumulatedImpairmentLossVehiclesHighwayBusinessNCAHWY,減損損失累計額、車両運搬具、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-vehicles-highway business-NCA-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossVehiclesHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、車両運搬具、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-vehicles-highway business-NCA-HWY
jppfs_cor:VehiclesNetHighwayBusinessNCAHWY,車両運搬具（純額）、高速道路事業固定資産、高速道路事業,"Vehicles, net","Vehicles, net-highway business-NCA-HWY"
jppfs_cor:ToolsFurnitureAndFixturesHighwayBusinessNCAHWY,工具、器具及び備品、高速道路事業固定資産、高速道路事業,"Tools, furniture and fixtures","Tools, furniture and fixtures-highway business-NCA-HWY"
jppfs_cor:AccumulatedDepreciationToolsFurnitureAndFixturesHighwayBusinessNCAHWY,減価償却累計額、工具、器具及び備品、高速道路事業固定資産、高速道路事業,Accumulated depreciation,"Accumulated depreciation-tools, furniture and fixtures-highway business-NCA-HWY"
jppfs_cor:AccumulatedImpairmentLossToolsFurnitureAndFixturesHighwayBusinessNCAHWY,減損損失累計額、工具、器具及び備品、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,"Accumulated impairment loss-tools, furniture and fixtures-highway business-NCA-HWY"
jppfs_cor:AccumulatedDepreciationAndImpairmentLossToolsFurnitureAndFixturesHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、工具、器具及び備品、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,"Accumulated depreciation and impairment loss-tools, furniture and fixtures-highway business-NCA-HWY"
jppfs_cor:ToolsFurnitureAndFixturesNetHighwayBusinessNCAHWY,工具、器具及び備品（純額）、高速道路事業固定資産、高速道路事業,"Tools, furniture and fixtures, net","Tools, furniture and fixtures, net-highway business-NCA-HWY"
jppfs_cor:LandHighwayBusinessNCAHWY,土地、高速道路事業固定資産、高速道路事業,Land,Land-highway business-NCA-HWY
jppfs_cor:ConstructionInProgressHighwayBusinessNCAHWY,建設仮勘定、高速道路事業固定資産、高速道路事業,Construction in progress,Construction in progress-highway business-NCA-HWY
jppfs_cor:AccumulatedDepreciationPPEByGroupHighwayBusinessNCAHWY,減価償却累計額、有形固定資産、一括控除、高速道路事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-PPE-by group-highway business-NCA-HWY
jppfs_cor:AccumulatedImpairmentLossPPEByGroupHighwayBusinessNCAHWY,減損損失累計額、有形固定資産、一括控除、高速道路事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-PPE-by group-highway business-NCA-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossPPEByGroupHighwayBusinessNCAHWY,減価償却累計額及び減損損失累計額、有形固定資産、一括控除、高速道路事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-PPE-by group-highway business-NCA-HWY
jppfs_cor:PropertyPlantAndEquipmentHighwayBusinessNCAHWY,有形固定資産、高速道路事業固定資産、高速道路事業,"Property, plant and equipment","Property, plant and equipment-highway business-NCA-HWY"
jppfs_cor:IntangibleAssetsHighwayBusinessNCAAbstractHWY,無形固定資産、高速道路事業固定資産、高速道路事業 [タイトル項目],Intangible assets,Intangible assets-highway business-NCA-HWY [abstract]
jppfs_cor:IntangibleAssetsHighwayBusinessNCAHWY,無形固定資産、高速道路事業固定資産、高速道路事業,Intangible assets,Intangible assets-highway business-NCA-HWY
jppfs_cor:NoncurrentAssetsHighwayBusinessNCAHWY,高速道路事業固定資産、高速道路事業,Non-current assets,Non-current assets-highway business-NCA-HWY
jppfs_cor:NoncurrentAssetsRelatedAbstractHWY,関連事業固定資産、高速道路事業 [タイトル項目],Non-current assets - related,Non-current assets - related-HWY [abstract]
jppfs_cor:PropertyPlantAndEquipmentNCARelatedAbstractHWY,有形固定資産、関連事業固定資産、高速道路事業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-NCA-related-HWY [abstract]"
jppfs_cor:BuildingsNCARelatedHWY,建物、関連事業固定資産、高速道路事業,Buildings,Buildings-NCA-related-HWY
jppfs_cor:AccumulatedDepreciationBuildingNCARelatedHWY,減価償却累計額、建物、関連事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-building-NCA-related-HWY
jppfs_cor:AccumulatedImpairmentLossBuildingsNCARelatedHWY,減損損失累計額、建物、関連事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-buildings-NCA-related-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossBuildingsNCARelatedHWY,減価償却累計額及び減損損失累計額、建物、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-buildings-NCA-related-HWY
jppfs_cor:BuildingsNetNCARelatedHWY,建物（純額）、関連事業固定資産、高速道路事業,"Buildings, net","Buildings, net-NCA-related-HWY"
jppfs_cor:StructuresNCARelatedHWY,構築物、関連事業固定資産、高速道路事業,Structures,Structures-NCA-related-HWY
jppfs_cor:AccumulatedDepreciationStructuresNCARelatedHWY,減価償却累計額、構築物、関連事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-structures-NCA-related-HWY
jppfs_cor:AccumulatedImpairmentLossStructuresNCARelatedHWY,減損損失累計額、構築物、関連事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-structures-NCA-related-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossStructuresNCARelatedHWY,減価償却累計額及び減損損失累計額、構築物、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-structures-NCA-related-HWY
jppfs_cor:StructuresNetNCARelatedHWY,構築物（純額）、関連事業固定資産、高速道路事業,"Structures, net","Structures, net-NCA-related-HWY"
jppfs_cor:MachineryAndEquipmentNCARelatedHWY,機械及び装置、関連事業固定資産、高速道路事業,Machinery and equipment,Machinery and equipment-NCA-related-HWY
jppfs_cor:AccumulatedDepreciationMachineryAndEquipmentNCARelatedHWY,減価償却累計額、機械及び装置、関連事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-machinery and equipment-NCA-related-HWY
jppfs_cor:AccumulatedImpairmentLossMachineryAndEquipmentNCARelatedHWY,減損損失累計額、機械及び装置、関連事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-machinery and equipment-NCA-related-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossMachineryAndEquipmentNCARelatedHWY,減価償却累計額及び減損損失累計額、機械及び装置、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-machinery and equipment-NCA-related-HWY
jppfs_cor:MachineryAndEquipmentNetNCARelatedHWY,機械及び装置（純額）、関連事業固定資産、高速道路事業,"Machinery and equipment, net","Machinery and equipment, net-NCA-related-HWY"
jppfs_cor:VehiclesNCARelatedHWY,車両運搬具、関連事業固定資産、高速道路事業,Vehicles,Vehicles-NCA-related-HWY
jppfs_cor:AccumulatedDepreciationVehiclesNCARelatedHWY,減価償却累計額、車両運搬具、関連事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-vehicles-NCA-related-HWY
jppfs_cor:AccumulatedImpairmentLossVehiclesNCARelatedHWY,減損損失累計額、車両運搬具、関連事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-vehicles-NCA-related-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossVehiclesNCARelatedHWY,減価償却累計額及び減損損失累計額、車両運搬具、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-vehicles-NCA-related-HWY
jppfs_cor:VehiclesNetNCARelatedHWY,車両運搬具（純額）、関連事業固定資産、高速道路事業,"Vehicles, net","Vehicles, net-NCA-related-HWY"
jppfs_cor:ToolsFurnitureAndFixturesNCARelatedHWY,工具、器具及び備品、関連事業固定資産、高速道路事業,"Tools, furniture and fixtures","Tools, furniture and fixtures-NCA-related-HWY"
jppfs_cor:AccumulatedDepreciationToolsFurnitureAndFixturesNCARelatedHWY,減価償却累計額、工具、器具及び備品、関連事業固定資産、高速道路事業,Accumulated depreciation,"Accumulated depreciation-tools, furniture and fixtures-NCA-related-HWY"
jppfs_cor:AccumulatedImpairmentLossToolsFurnitureAndFixturesNCARelatedHWY,減損損失累計額、工具、器具及び備品、関連事業固定資産、高速道路事業,Accumulated impairment loss,"Accumulated impairment loss-tools, furniture and fixtures-NCA-related-HWY"
jppfs_cor:AccumulatedDepreciationAndImpairmentLossToolsFurnitureAndFixturesNCARelatedHWY,減価償却累計額及び減損損失累計額、工具、器具及び備品、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,"Accumulated depreciation and impairment loss-tools, furniture and fixtures-NCA-related-HWY"
jppfs_cor:ToolsFurnitureAndFixturesNetNCARelatedHWY,工具、器具及び備品（純額）、関連事業固定資産、高速道路事業,"Tools, furniture and fixtures, net","Tools, furniture and fixtures, net-NCA-related-HWY"
jppfs_cor:LandNCARelatedHWY,土地、関連事業固定資産、高速道路事業,Land,Land-NCA-related-HWY
jppfs_cor:ConstructionInProgressNCARelatedHWY,建設仮勘定、関連事業固定資産、高速道路事業,Construction in progress,Construction in progress-NCA-related-HWY
jppfs_cor:AccumulatedDepreciationPPEByGroupNCARelatedHWY,減価償却累計額、有形固定資産、一括控除、関連事業固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-PPE-by group-NCA-related-HWY
jppfs_cor:AccumulatedImpairmentLossPPEByGroupNCARelatedHWY,減損損失累計額、有形固定資産、一括控除、関連事業固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-PPE-by group-NCA-related-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossPPEByGroupNCARelatedHWY,減価償却累計額及び減損損失累計額、有形固定資産、一括控除、関連事業固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-PPE-by group-NCA-related-HWY
jppfs_cor:PropertyPlantAndEquipmentNCARelatedHWY,有形固定資産、関連事業固定資産、高速道路事業,"Property, plant and equipment","Property, plant and equipment-NCA-related-HWY"
jppfs_cor:IntangibleAssetsNCARelatedAbstractHWY,無形固定資産、関連事業固定資産、高速道路事業 [タイトル項目],Intangible assets,Intangible assets-NCA-related-HWY [abstract]
jppfs_cor:IntangibleAssetsNCARelatedHWY,無形固定資産、関連事業固定資産、高速道路事業,Intangible assets,Intangible assets-NCA-related-HWY
jppfs_cor:NoncurrentAssetsRelatedHWY,関連事業固定資産、高速道路事業,Non-current assets - related,Non-current assets - related-HWY
jppfs_cor:NoncurrentAssetsAffiliatedAbstractHWY,各事業共用固定資産、高速道路事業 [タイトル項目],Non-current assets - affiliated,Non-current assets - affiliated-HWY [abstract]
jppfs_cor:PropertyPlantAndEquipmentNCAAffiliatedAbstractHWY,有形固定資産、各事業共用固定資産、高速道路事業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-NCA-affiliated-HWY [abstract]"
jppfs_cor:BuildingsNCAAffiliatedHWY,建物、各事業共用固定資産、高速道路事業,Buildings,Buildings-NCA-affiliated-HWY
jppfs_cor:AccumulatedDepreciationBuildingNCAAffiliatedHWY,減価償却累計額、建物、各事業共用固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-building-NCA-affiliated-HWY
jppfs_cor:AccumulatedImpairmentLossBuildingsNCAAffiliatedHWY,減損損失累計額、建物、各事業共用固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-buildings-NCA-affiliated-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossBuildingsNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、建物、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-buildings-NCA-affiliated-HWY
jppfs_cor:BuildingsNetNCAAffiliatedHWY,建物（純額）、各事業共用固定資産、高速道路事業,"Buildings, net","Buildings, net-NCA-affiliated-HWY"
jppfs_cor:StructuresNCAAffiliatedHWY,構築物、各事業共用固定資産、高速道路事業,Structures,Structures-NCA-affiliated-HWY
jppfs_cor:AccumulatedDepreciationStructuresNCAAffiliatedHWY,減価償却累計額、構築物、各事業共用固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-structures-NCA-affiliated-HWY
jppfs_cor:AccumulatedImpairmentLossStructuresNCAAffiliatedHWY,減損損失累計額、構築物、各事業共用固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-structures-NCA-affiliated-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossStructuresNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、構築物、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-structures-NCA-affiliated-HWY
jppfs_cor:StructuresNetNCAAffiliatedHWY,構築物（純額）、各事業共用固定資産、高速道路事業,"Structures, net","Structures, net-NCA-affiliated-HWY"
jppfs_cor:MachineryAndEquipmentNCAAffiliatedHWY,機械及び装置、各事業共用固定資産、高速道路事業,Machinery and equipment,Machinery and equipment-NCA-affiliated-HWY
jppfs_cor:AccumulatedDepreciationMachineryAndEquipmentNCAAffiliatedHWY,減価償却累計額、機械及び装置、各事業共用固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-machinery and equipment-NCA-affiliated-HWY
jppfs_cor:AccumulatedImpairmentLossMachineryAndEquipmentNCAAffiliatedHWY,減損損失累計額、機械及び装置、各事業共用固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-machinery and equipment-NCA-affiliated-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossMachineryAndEquipmentNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、機械及び装置、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-machinery and equipment-NCA-affiliated-HWY
jppfs_cor:MachineryAndEquipmentNetNCAAffiliatedHWY,機械及び装置（純額）、各事業共用固定資産、高速道路事業,"Machinery and equipment, net","Machinery and equipment, net-NCA-affiliated-HWY"
jppfs_cor:VehiclesNCAAffiliatedHWY,車両運搬具、各事業共用固定資産、高速道路事業,Vehicles,Vehicles-NCA-affiliated-HWY
jppfs_cor:AccumulatedDepreciationVehiclesNCAAffiliatedHWY,減価償却累計額、車両運搬具、各事業共用固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-vehicles-NCA-affiliated-HWY
jppfs_cor:AccumulatedImpairmentLossVehiclesNCAAffiliatedHWY,減損損失累計額、車両運搬具、各事業共用固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-vehicles-NCA-affiliated-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossVehiclesNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、車両運搬具、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-vehicles-NCA-affiliated-HWY
jppfs_cor:VehiclesNetNCAAffiliatedHWY,車両運搬具（純額）、各事業共用固定資産、高速道路事業,"Vehicles, net","Vehicles, net-NCA-affiliated-HWY"
jppfs_cor:ToolsFurnitureAndFixturesNCAAffiliatedHWY,工具、器具及び備品、各事業共用固定資産、高速道路事業,"Tools, furniture and fixtures","Tools, furniture and fixtures-NCA-affiliated-HWY"
jppfs_cor:AccumulatedDepreciationToolsFurnitureAndFixturesNCAAffiliatedHWY,減価償却累計額、工具、器具及び備品、各事業共用固定資産、高速道路事業,Accumulated depreciation,"Accumulated depreciation-tools, furniture and fixtures-NCA-affiliated-HWY"
jppfs_cor:AccumulatedImpairmentLossToolsFurnitureAndFixturesNCAAffiliatedHWY,減損損失累計額、工具、器具及び備品、各事業共用固定資産、高速道路事業,Accumulated impairment loss,"Accumulated impairment loss-tools, furniture and fixtures-NCA-affiliated-HWY"
jppfs_cor:AccumulatedDepreciationAndImpairmentLossToolsFurnitureAndFixturesNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、工具、器具及び備品、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,"Accumulated depreciation and impairment loss-tools, furniture and fixtures-NCA-affiliated-HWY"
jppfs_cor:ToolsFurnitureAndFixturesNetNCAAffiliatedHWY,工具、器具及び備品（純額）、各事業共用固定資産、高速道路事業,"Tools, furniture and fixtures, net","Tools, furniture and fixtures, net-NCA-affiliated-HWY"
jppfs_cor:LandNCAAffiliatedHWY,土地、各事業共用固定資産、高速道路事業,Land,Land-NCA-affiliated-HWY
jppfs_cor:ConstructionInProgressNCAAffiliatedHWY,建設仮勘定、各事業共用固定資産、高速道路事業,Construction in progress,Construction in progress-NCA-affiliated-HWY
jppfs_cor:AccumulatedDepreciationPPEByGroupNCAAffiliatedHWY,減価償却累計額、有形固定資産、一括控除、各事業共用固定資産、高速道路事業,Accumulated depreciation,Accumulated depreciation-PPE-by group-NCA-affiliated-HWY
jppfs_cor:AccumulatedImpairmentLossPPEByGroupNCAAffiliatedHWY,減損損失累計額、有形固定資産、一括控除、各事業共用固定資産、高速道路事業,Accumulated impairment loss,Accumulated impairment loss-PPE-by group-NCA-affiliated-HWY
jppfs_cor:AccumulatedDepreciationAndImpairmentLossPPEByGroupNCAAffiliatedHWY,減価償却累計額及び減損損失累計額、有形固定資産、一括控除、各事業共用固定資産、高速道路事業,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-PPE-by group-NCA-affiliated-HWY
jppfs_cor:PropertyPlantAndEquipmentNCAAffiliatedHWY,有形固定資産、各事業共用固定資産、高速道路事業,"Property, plant and equipment","Property, plant and equipment-NCA-affiliated-HWY"
jppfs_cor:IntangibleAssetsNCAAffiliatedAbstractHWY,無形固定資産、各事業共用固定資産、高速道路事業 [タイトル項目],Intangible assets,Intangible assets-NCA-affiliated-HWY [abstract]
jppfs_cor:IntangibleAssetsNCAAffiliatedHWY,無形固定資産、各事業共用固定資産、高速道路事業,Intangible assets,Intangible assets-NCA-affiliated-HWY
jppfs_cor:NoncurrentAssetsAffiliatedHWY,各事業共用固定資産、高速道路事業,Non-current assets - affiliated,Non-current assets - affiliated-HWY
jppfs_cor:OtherNoncurrentAssetsAbstractHWY,その他の固定資産、高速道路事業 [タイトル項目],Other non-current assets,Other non-current assets-HWY [abstract]
jppfs_cor:PropertyPlantAndEquipmentOtherNoncurrentAssetsAbstractHWY,有形固定資産、その他の固定資産、高速道路事業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-other noncurrent assets-HWY [abstract]"
jppfs_cor:PropertyPlantAndEquipmentOtherNoncurrentAssetsHWY,有形固定資産、その他の固定資産、高速道路事業,"Property, plant and equipment","Property, plant and equipment-other noncurrent assets-HWY"
jppfs_cor:OtherNoncurrentAssetsHWY,その他の固定資産、高速道路事業,Other non-current assets,Other non-current assets-HWY
jppfs_cor:InvestmentsAndOtherAssetsAbstract,投資その他の資産 [タイトル項目],Investments and other assets,Investments and other assets [abstract]
jppfs_cor:StocksOfSubsidiariesAndAffiliates,関係会社株式,Shares of subsidiaries and associates,Shares of subsidiaries and associates
jppfs_cor:InvestmentSecurities,投資有価証券,Investment securities,Investment securities
jppfs_cor:InvestmentsInCapitalOfSubsidiariesAndAffiliates,関係会社出資金,Investments in capital of subsidiaries and associates,Investments in capital of subsidiaries and associates
jppfs_cor:InvestmentsInCapital,出資金,Investments in capital,Investments in capital
jppfs_cor:LongTermLoansReceivable,長期貸付金,Long-term loans receivable,Long-term loans receivable
jppfs_cor:LongTermPrepaidExpenses,長期前払費用,Long-term prepaid expenses,Long-term prepaid expenses
jppfs_cor:DeferredTaxAssetsIOA,繰延税金資産、投資その他の資産,Deferred tax assets,Deferred tax assets-IOA
jppfs_cor:OtherIOA,その他、投資その他の資産,Other,Other-IOA
jppfs_cor:AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金、投資その他の資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-IOA-by group
jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,Investments and other assets,Investments and other assets
jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
jppfs_cor:DeferredAssetsAbstract,繰延資産 [タイトル項目],Deferred assets,Deferred assets [abstract]
jppfs_cor:DeferredOrganizationExpensesDA,創立費、繰延資産,Deferred organization expenses,Deferred organization expenses-DA
jppfs_cor:BusinessCommencementExpensesDA,開業費、繰延資産,Business commencement expenses,Business commencement expenses-DA
jppfs_cor:DevelopmentExpensesDA,開発費、繰延資産,Development expenses,Development expenses-DA
jppfs_cor:StockIssuanceCostDA,株式交付費、繰延資産,Share issuance cost,Share issuance cost-DA
jppfs_cor:RoadBuildingBondIssuanceCostDAHWY,道路建設関係社債発行費、繰延資産、高速道路事業,Road-building bond issuance cost,Road-building bond issuance cost-DA-HWY
jppfs_cor:OtherBondIssuanceCostDAHWY,その他の社債発行費、繰延資産、高速道路事業,Other bond issuance cost,Other bond issuance cost-DA-HWY
jppfs_cor:DeferredAssets,繰延資産,Deferred assets,Deferred assets
jppfs_cor:Assets,資産,Assets,Assets
jppfs_cor:LiabilitiesAbstract,負債の部 [タイトル項目],Liabilities,Liabilities [abstract]
